产品,活动名称,年,月,日,活动城市,活动类型,活动规模(参会人数),AZ覆盖邀请客户数,目标客户群,主席1,主席2,主席3,主席4,主席权重,讲者1,讲者2,讲者3,讲者4,讲者5,讲者6,讲者7,讲者8,讲者权重,参会权重
令舒+信必可+中山医,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,1,23号,广州,外部特例会,20,5,呼吸医生,龚指针,,,,5,,,,,,,,,4,3
令舒,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,2,23号,广州,外部特例会,20,4,呼吸医生,,,,,5,苏轻轻,,,,,,,,4,3
信必可,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,2,23号,广州,外部特例会,20,2,呼吸医生,,,,,5,,,,,,,,,4,3
广药,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,3,23号,广州,外部特例会,20,2,呼吸医生,,,,,5,,,,,,,,,4,3
令舒+信必可+光耀,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,4,23号,广州,外部特例会,20,6,呼吸医生,龚指针,,,,5,苏轻轻,,,,,,,,4,3
令舒+信必可+广告,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,5,23号,广州,外部特例会,20,4,呼吸医生,龚指针,,,,5,,,,,,,,,4,3
令舒2,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,1,23号,广州,外部特例会,20,3,呼吸医生,,,,,3,,,,,,,,,3,2
令舒2,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,2,23号,广州,外部特例会,20,3,呼吸医生,,,,,3,苏轻轻,,,,,,,,3,2
信必可2,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,2,23号,广州,外部特例会,20,3,呼吸医生,,,,,3,苏轻轻,,,,,,,,3,2
广药2,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,3,23号,广州,外部特例会,20,4,呼吸医生,,,,,3,苏轻轻,,,,,,,,3,2
令舒+信必可+光耀2,AZ呼吸医学跨越行（成人呼吸-南/北区）,2016,4,23号,广州,外部特例会,20,0,呼吸医生,,,,,3,,,,,,,,,3,2
必答数2,"AZ癌症治疗
（成人呼吸-南/北区）",2016,1,23号,广州,外部特例会,20,2,呼吸医生,,,,,3,,,,,,,,,3,2
必答数4,"AZ癌症治疗3
（成人呼吸-南/北区）",2016,2,23号,广州,外部特例会,20,20,呼吸医生,,,,,3,,,,,,,,,3,2
必答数5,"AZ癌症治疗4
（成人呼吸-南/北区）",2016,3,23号,广州,外部特例会,20,20,呼吸医生,,,,,3,,,,,,,,,3,2
必答数6,"AZ癌症治疗5
（成人呼吸-南/北区）",2016,4,23号,广州,外部特例会,20,20,呼吸医生,,,,,3,,,,,,,,,3,2
必答数7,"AZ癌症治疗6
（成人呼吸-南/北区）",2016,5,23号,广州,外部特例会,20,20,呼吸医生,,,,,3,,,,,,,,,3,2
